0.879
class4,p
Ib,0.8169662950833768
nonevent,0.46230663229261615
nonevent,0.11390047376756891
nonevent,0.10482220720456015
nonevent,0.0142487922705314
II,0.9690410007654431
nonevent,0.1445622797108865
nonevent,0.04673751563866653
II,0.8821738306745837
nonevent,0.027982694592988713
nonevent,0.08888346707098557
nonevent,0.1861361514274053
II,0.7608848657535661
Ib,0.9974603174603175
nonevent,0.4557864454564868
Ib,0.8860755472070589
nonevent,0.008830729440165434
nonevent,0.08521659957689369
nonevent,0.036750793029228894
nonevent,0.2206329299145812
Ib,0.9825555555555556
nonevent,0.05745983620085115
nonevent,0.16770597331393872
nonevent,0.14526429921240122
II,0.9700707070707072
nonevent,0.022672629657923774
nonevent,0.10353709732072566
Ib,0.9638266468425478
II,0.9709955081317149
II,0.8985686052280478
II,0.8893004808592131
Ib,0.9615181808820864
nonevent,0.013159921233450646
Ib,0.992935064935065
II,0.9885194805194805
Ib,0.9765462097872143
nonevent,0.004092809364548495
nonevent,0.016047895944635075
nonevent,0.09825490957843896
II,0.8100433749450273
II,0.6961372735119236
II,0.9581502349502348
nonevent,0.009585286935286935
II,0.7813930427617433
Ib,0.7324257703577866
nonevent,0.07537179795533883
nonevent,0.0186986036838978
nonevent,0.3292186217826174
nonevent,0.023575480430339763
Ib,1.0
nonevent,0.08817559103537365
nonevent,0.1825493618169719
nonevent,0.35577523279180795
Ib,1.0
nonevent,0.42557508753529416
Ib,0.9561605660421449
nonevent,0.1351204226521597
Ib,1.0
II,0.7685101746192068
nonevent,0.5113486402421656
nonevent,0.01390423279775817
nonevent,0.19333609091959478
Ib,0.9704336469530978
Ib,1.0
II,0.7400024080722527
nonevent,0.11181556048745778
Ib,0.7880808237768124
II,0.8328455263109901
II,0.9653215673215673
nonevent,0.5632596132253789
nonevent,0.4002543924963992
nonevent,0.07974445568577687
II,0.8189494565675307
nonevent,0.27816459523753745
Ib,0.9983333333333333
Ib,0.916965248730756
nonevent,0.020691697790227205
nonevent,0.015592474187742733
II,0.9548275803144225
nonevent,0.03727670892918571
II,0.6703271104727223
II,0.8565364777170593
nonevent,0.09748194887714001
nonevent,0.11659503067265214
nonevent,0.47748534017469946
nonevent,0.08342926517926516
nonevent,0.09084997265376521
nonevent,0.05933234030493418
nonevent,0.012890062966452788
II,0.9175326299304559
nonevent,0.08680436863319149
